timestamp_gpst,truth_gpst,time_offset_s,elapsed_s,solution_lon_deg,solution_lat_deg,solution_height_m,solution_roll_deg,solution_pitch_deg,solution_yaw_deg,truth_lon_deg,truth_lat_deg,truth_height_m,truth_heading_deg,truth_pitch_deg,truth_roll_deg,solution_east_m,solution_north_m,solution_up_m,truth_east_m,truth_north_m,truth_up_m,east_error_m,north_error_m,up_error_m,horizontal_error_m,translation_error_m,roll_error_deg,pitch_error_deg,yaw_error_deg,attitude_error_deg,velocity_east_error_mps,velocity_north_error_mps,velocity_up_error_mps,velocity_horizontal_error_mps,velocity_3d_error_mps,solution_status,num_satellites,differential_age_s,std_east_m,std_north_m,std_up_m,std_roll_deg,std_pitch_deg,std_yaw_deg,std_velocity_east_mps,std_velocity_north_mps,std_velocity_up_mps
120992.630389,120992.630389,0,0,121.443450035,31.0305355397,17.1608137116,-0.451462763602,1.2020646065,25.3905808432,121.44345154,31.0305329086,17.186,-26.3010602781,-0.551723078341,-179.847392215,-0.14363620436,0.291717270055,-0.0251862884164,0,0,0,-0.14363620436,0.291717270055,-0.0251862884164,0.325161997858,0.326135974672,179.395929452,1.75378768484,51.6916411213,186.702975437,-0.0419552601933,-0.0178349681669,0.0532806767928,0.0455887041646,0.0701224676327,float,36,0,0,0,0,0,0,0,0,0,0
120992.730428,120992.730428,0,0.100038290024,121.443448314,31.0305387029,17.1602355558,-0.432640418185,1.26093224679,26.0652463221,121.443449734,31.0305361201,17.187,-26.6001449074,-0.54677224596,-179.840050645,-0.307948393593,0.642422693058,-0.0257644441575,-0.172371123227,0.356064812804,0.001,-0.135577265837,0.286357880442,-0.0267644441575,0.316831233787,0.317959692688,179.407410226,1.80770449275,52.6653912296,186.986443554,-0.00198407881835,-0.023417871474,0.0366414660182,0.023501771702,0.0435307972026,fixed,36,0,0,0,0,0,0,0,0,0,0
120992.830467,120992.830467,0,0.200077533722,121.443446505,31.0305418444,17.1567232618,-0.360693775651,1.29409283013,26.5453000818,121.443447904,31.030539295,17.188,-26.9344141289,-0.510424211316,-179.824854524,-0.480696612171,0.990721904711,-0.0292767381892,-0.347111362104,0.708068463513,0.002,-0.133585241195,0.282653441567,-0.0312767381892,0.312630748159,0.314191373285,179.464160748,1.80451704145,53.4797142107,187.271784065,0.0134395634653,-0.0214194840017,0.0273413313719,0.0252866795178,0.0372419731247,float,36,0,0,0,0,0,0,0,0,0,0
120992.930506,120992.930506,0,0.300116539001,121.443444647,31.0305449674,17.1601407267,-0.371674338317,1.28569130661,26.9630520195,121.443446055,31.0305424444,17.19,-27.3436939233,-0.520710277131,-179.852931949,-0.658130064785,1.33696521585,-0.0258592732847,-0.523682737078,1.05723497117,0.004,-0.134447314396,0.279730245267,-0.0298592732847,0.310362836798,0.311795873396,179.48125761,1.80640158374,54.3067459428,187.526018395,-0.00221925393611,-0.0212370604949,-0.0100028070993,0.021352700684,0.0235795245152,float,36,0,0,0,0,0,0,0,0,0,0
120993.030544,120993.030544,0,0.400154829025,121.443442802,31.0305481071,17.1491167983,-0.407546136295,1.38114618855,27.4909129601,121.443444199,31.0305455609,17.191,-27.8210876652,-0.514845887573,-179.786047852,-0.834261763619,1.68506153605,-0.036883201696,-0.700830092897,1.40277196568,0.005,-0.133431653188,0.282289571144,-0.041883201696,0.312236141484,0.315032713592,179.378501716,1.89599207612,55.3120006253,187.722292435,-0.0023159489536,-0.0243392490443,0.0208055481144,0.0244491853361,0.0321034810564,fixed,36,0,0,0,0,0,0,0,0,0,0
120993.130583,120993.130583,0,0.500194072723,121.44344086,31.0305512059,17.1453574561,-0.448148923435,1.41272315432,27.9630574182,121.443442317,31.0305486393,17.193,-28.4034806737,-0.520928267172,-179.727293492,-1.01964864399,2.02862938595,-0.0406425439417,-0.880570736279,1.7440729872,0.007,-0.139077885003,0.28455639976,-0.0476425439417,0.316725437471,0.320288642843,179.279144568,1.9336514215,56.3665380919,187.94131345,-0.015623850828,-0.0235663102553,-0.0348718506567,0.0282750012157,0.0448945616079,fixed,36,0,0,0,0,0,0,0,0,0,0
120993.230622,120993.230622,0,0.600232362747,121.443438916,31.0305542177,17.1419726247,-0.420240598489,1.52824997384,28.6753128445,121.443440398,31.0305516669,17.193,-29.107017993,-0.50139106755,-179.659695754,-1.2052687162,2.36254480216,-0.0440273753032,-1.063754064,2.07974421099,0.007,-0.14151462462,0.282800592306,-0.0510273753032,0.316231820015,0.320322270565,179.239455156,2.02964104139,57.7823308375,188.334010429,-0.0121440887798,-0.0215131876939,-0.000636665925589,0.0247041724622,0.0247123750487,fixed,35,0,0,0,0,0,0,0,0,0,0
120993.330661,120993.330661,0,0.700271606445,121.44343687,31.0305571518,17.1400270369,-0.438202103283,1.51007554199,29.4222036191,121.443438419,31.0305546407,17.195,-29.9313710965,-0.513146336949,-179.641718054,-1.40056578842,2.68785134724,-0.0459729631096,-1.25274949537,2.40945163885,0.009,-0.147816259694,0.278399709729,-0.0549729631096,0.315207939315,0.319965735166,179.203515951,2.02322187894,59.3535747156,188.78781843,-0.0319710370785,-0.0303587231132,0.0174885744612,0.044088539111,0.04743047035,fixed,35,0,0,0,0,0,0,0,0,0,0
120993.430699,120993.430699,0,0.800309658051,121.443434796,31.0305600331,17.1416675542,-0.43757345981,1.51966133813,30.354154921,121.443436377,31.0305575504,17.197,-30.860687177,-0.503627117811,-179.650413332,-1.59857570786,3.00730762883,-0.044332445845,-1.4476831564,2.7320477955,0.011,-0.150892512865,0.275259834862,-0.055332445845,0.313905283688,0.318744735941,179.212839873,2.02328845594,61.214842098,189.390054027,-0.0420535474082,-0.0436932274817,0.0180327253508,0.0606432104805,0.0632675126819,fixed,35,0,0,0,0,0,0,0,0,0,0
120993.530738,120993.530738,0,0.900348901749,121.443432652,31.0305628357,17.1339337043,-0.41478573296,1.4960082979,31.4199178381,121.443434279,31.0305604004,17.199,-31.9030415373,-0.491087926426,-179.64131593,-1.80328196365,3.31803378991,-0.0520662956536,-1.64796979123,3.04802576773,0.013,-0.155312128124,0.270008023886,-0.0650662956536,0.31149027289,0.318213470701,179.226530197,1.98709622432,63.3229593754,190.094436694,-0.0390681097201,-0.0427624308051,0.00164502049536,0.0579218670751,0.057945222218,fixed,36,0,0,0,0,0,0,0,0,0,0
