utc_tow,elapsed,solution_lon,solution_lat,solution_height,truth_lon,truth_lat,truth_height,solution_east_m,solution_north_m,solution_up_m,truth_east_m,truth_north_m,truth_up_m,ape_translation_m,ape_horizontal_m,attitude_error_deg,east_error_m,north_error_m,up_error_m,horizontal_error_m,spatial_error_m,fix_quality,satellites
120992.630389,0.0,121.443450035,31.0305355397,17.1608137116,121.44345010241109,31.030535513387232,17.115918434654738,-0.006436011596965976,0.0029173047643736875,0.04489527694526174,0.0,0.0,0.0,0.04544797910090468,0.0070663224073430125,0.5600437108364709,-0.006436011596965976,0.0029173047643736875,0.04489527694526174,0.0070663224073430125,0.04544797910090468,float,36.0
120992.730428,0.100038290024,121.443448314,31.0305387029,17.1602355558,121.44344828053225,31.03053871840373,17.116945431232192,-0.17074689002866617,0.353622199328326,0.044317121145262206,-0.1739421929528993,0.3553411021486175,0.001026996577454753,0.04344190916733408,0.003628303599014006,0.6206858285959812,0.0031953028177496654,-0.0017189028214238983,0.04329012456780745,0.003628303599014006,0.04344190916733408,fixed,36.0
120992.830467,0.200077533722,121.443446505,31.0305418444,17.1567232618,121.44344643257733,31.03054188624158,17.118146972744007,-0.34345948870454146,0.7019212083965037,0.040804827145262124,-0.3503739745206635,0.7065601968135683,0.002228538089269705,0.039464672793408595,0.008326483132711206,0.7068654553107752,0.00691448535814641,-0.0046389884232775494,0.03857628905599242,0.008326483132711206,0.039464672793408595,float,36.0
120992.930506,0.300116539001,121.443444647,31.0305449674,17.1601407267,121.44344456248584,31.030545026560052,17.12009197288112,-0.5208503127534837,1.0481691183665756,0.04422229204526218,-0.5289192259390231,1.0547282098453452,0.004173538226382334,0.04137670492915119,0.010398510871697018,0.7267841079492482,0.008068912388819136,-0.006559091492757373,0.040048753818879845,0.010398510871697018,0.04137670492915119,float,36.0
120993.030544,0.400154829025,121.443442802,31.0305481071,17.1491167983,121.44344268079438,31.030548131989097,17.12111899902049,-0.696999976703958,1.3962685612761876,0.033198363645261963,-0.708571973387906,1.399028022241599,0.005200564365750893,0.030420428358586042,0.011896457330822278,0.765267857532798,0.011571995167738852,-0.002759460973071331,0.02799779927951107,0.011896457330822278,0.030420428358586042,fixed,36.0
120993.130583,0.500194072723,121.44344086,31.0305512059,17.1453574561,121.44344076792866,31.030551196613413,17.123080121597795,-0.8824106278245779,1.7398334094723678,0.029439021445263336,-0.8912010529537745,1.738803802573887,0.007161686943057077,0.023971050700760593,0.008850516322522966,0.6814474263377,0.008790423698679063,0.001029606902146129,0.02227733450220626,0.008850516322522966,0.023971050700760593,fixed,36.0
120993.230622,0.600232362747,121.443438916,31.0305542177,17.1419726247,121.4434388117365,31.030554207481792,17.123183567992736,-1.0680122231021627,2.073752542373089,0.02605419004526155,-1.0779666858485464,2.0726196469103035,0.007265133337998719,0.021293271100874228,0.010018719590176544,0.7289361742851104,0.009954460813454876,0.0011328954673660557,0.01878905670726283,0.010018719590176544,0.021293271100874228,fixed,35.0
120993.330661,0.700271606445,121.44343687,31.0305571518,17.1400270369,121.44343679033852,31.03055716115943,17.12511649158533,-1.2633521768740827,2.399057054266011,0.024108602245263455,-1.2709577818608975,2.4000947370741557,0.009198056930593168,0.016770400961734995,0.007676065843680993,0.6656795154705781,0.007605603277574847,-0.0010376828131316142,0.014910545314670287,0.007676065843680993,0.016770400961734995,fixed,35.0
120993.430699,0.800309658051,121.443434796,31.0305600331,17.1416675542,121.44343470111045,31.030560047917934,17.12717032830341,-1.4613654022877551,2.7185076149288023,0.02574911954526371,-1.4704248949202328,2.720150483881232,0.011251893648672961,0.017173902937065964,0.009207246243854971,0.6811842255794833,0.009059490326172894,-0.001642868961591661,0.014497225896590749,0.009207246243854971,0.017173902937065964,fixed,35.0
120993.530738,0.900348901749,121.443432652,31.0305628357,17.1339337043,121.44343255044828,31.03056287131751,17.129239568545458,-1.6660618140936612,3.029232683790444,0.0180152696452609,-1.6757573710320168,3.033181607554449,0.013321133890720205,0.011473128630493564,0.010468895361488423,0.6621219896260622,0.009695554187261668,-0.003948923789042593,0.004694135754540696,0.010468895361488423,0.011473128630493564,fixed,36.0
120993.630777,1.00038814545,121.443430488,31.0305656038,17.1318906164,121.44343033136607,31.0305656238934,17.130359290898934,-1.8726677063377575,3.336132727912959,0.01597218174526205,-1.887622187141883,3.3383604892099545,0.014440856244195999,0.015196849498469833,0.015119499888849752,0.7246968654345726,0.014954476133372736,-0.0022277613124643456,0.0015313255010660498,0.015119499888849752,0.015196849498469833,fixed,35.0
120993.730816,1.10042643547,121.443428211,31.0305683249,17.1362677906,121.44342806008869,31.030568314559545,17.13155226667185,-2.0900621705884084,3.6378218687267934,0.02034935594526388,-2.1044702884008366,3.63667541961525,0.015633832017112326,0.015203428203162133,0.014453652244735096,0.6810411576817597,0.01440811290997313,0.0011464491201974452,0.004715523928151555,0.014453652244735096,0.015203428203162133,fixed,37.0
120993.830855,1.20046567917,121.443425908,31.0305709528,17.1365578184,121.44342573996677,31.030570945458738,17.13352750868009,-2.309938959894563,3.9291778982884824,0.020639383745262307,-2.3259817769657745,3.928363970578704,0.01760907402535139,0.016346774781954204,0.016063445109108673,0.6754181340541389,0.016042811176525385,0.0008139277165077679,0.0030303097199109175,0.016063445109108673,0.016346774781954204,float,37.0
120993.930893,1.30050396919,121.443423547,31.0305735629,17.1469642883,121.44342338347525,31.03057352366904,17.134639353277297,-2.535353246358324,4.218560436755843,0.031045853645263577,-2.5509656185856713,4.21421088905398,0.018720918622559424,0.020360956835479956,0.01620692876341469,0.6629513345156208,0.0156123660729896,0.0043495477403244776,0.012324935022704153,0.01620692876341469,0.020360956835479956,float,36.0
120994.03093,1.40054106712,121.44342113,31.0305760478,17.1504077874,121.44342096218686,31.03057603142618,17.13584478223752,-2.7661140785348737,4.494062015510048,0.034489352745261215,-2.782135882298904,4.492246645381086,0.019926347582782,0.02172727935680511,0.016124315454810887,0.6240922141142726,0.016021797031513935,0.0018153701460651114,0.014563005162479215,0.016124315454810887,0.02172727935680511,float,36.0
120994.130969,1.5005800724,121.443418567,31.0305784741,17.1527106566,121.44341847151426,31.030578478919036,17.139728750065068,-3.01081412568392,4.763066595112673,0.03679222194526233,-3.019930538871376,4.7636008830780465,0.023810315410329963,0.015872122615654065,0.009132052290949587,0.5765022325998025,0.009116409129078702,-0.0005342879709371256,0.012981906534932364,0.009132052290949587,0.015872122615654065,float,36.0
