utc_tow,elapsed,solution_lon,solution_lat,solution_height,truth_lon,truth_lat,truth_height,solution_east_m,solution_north_m,solution_up_m,truth_east_m,truth_north_m,truth_up_m,ape_translation_m,ape_horizontal_m,attitude_error_deg,east_error_m,north_error_m,up_error_m,horizontal_error_m,spatial_error_m,fix_quality,satellites
120973.81999993324,0.0,121.44346437666667,31.030508965,17.125999999999998,121.44346444375167,31.030508930063355,17.111787406132613,-0.006404879667115673,0.0038734357473655277,0.014212593867384271,0.0,0.0,0.0,0.016063119637181624,0.007485050971048956,0.40704312022985917,-0.006404879667115673,0.0038734357473655277,0.014212593867384271,0.007485050971048956,0.016063119637181624,5,36
120973.9200000763,0.10000014305114746,121.44346274666665,31.030512241666663,17.125,121.44346271284783,31.03051221148354,17.10858972755499,-0.1620276610974304,0.3671584109444237,0.013212593867386602,-0.1652564841779105,0.3638119990022409,-0.00319767857762443,0.017056400920655856,0.004650136626666101,0.5875094037100161,0.0032288229681654667,0.003346411942201487,0.01641027244501103,0.004650136626666101,0.017056400920655856,5,36
120974.01999998093,0.20000004768371582,121.44346099166665,31.030515541666666,17.125999999999998,121.44346093899848,31.03051551144864,17.109213393304277,-0.3295847046465577,0.7330303593179146,0.014212593867384271,-0.3346131515798071,0.7296800783302156,-0.0025740128283366914,0.01784095911463183,0.006042322216924603,0.6705318557737435,0.0050284465854559665,0.0033502809897614375,0.016786606695720963,0.006042322216924603,0.01784095911463183,5,36
120974.11999988556,0.2999999523162842,121.44345923666667,31.03051885,17.128999999999998,121.44345915932672,31.030518819360047,17.11059430256571,-0.497141748195685,1.0998262267333643,0.017212593867384385,-0.5045257097795467,1.0964291666862338,-0.0011931035669050516,0.020120452092886296,0.008127908364365569,0.7958034428639883,0.0073839608195497095,0.003397060051703319,0.018405697434289436,0.008127908364365569,0.020120452092886296,5,36
120974.22000002861,0.40000009536743164,121.44345739999999,31.030522206666667,17.122,121.44345739084693,31.030522121008485,17.11340826999298,-0.6724958434816267,1.471980825156381,0.010212593867386488,-0.6733697252226932,1.4624838777396731,0.0016208638603671943,0.012836413215987814,0.009537068718325924,0.7291826602948901,0.0008738816208514183,0.00949694743856198,0.008591730007019294,0.009537068718325924,0.012836413215987814,5,36
120974.31999993324,0.5,121.44345563999998,31.030525478333335,17.124,121.4434556427939,31.030525410349625,17.114686534441436,-0.8405302584872204,1.834711449210367,0.01221259386738538,-0.8402635133055942,1.827174075316734,0.0028991283088224407,0.011984314716859866,0.007542092449858056,0.6890849570594041,-0.0002667451358178535,0.007537373916340054,0.009313465558562939,0.007542092449858056,0.011984314716859866,5,36
120974.4200000763,0.6000001430511475,121.44345384333334,31.030528741666664,17.125999999999998,121.44345387798323,31.030528681671186,17.11495052400705,-1.0120653869800005,2.1965181528118785,0.014212593867384271,-1.0087572210306168,2.1898664370071788,0.0031631178744362387,0.013314661115590754,0.00742894884248704,0.5218451456837793,-0.003308165268337194,0.006651715828390223,0.011049475992948032,0.00742894884248704,0.013314661115590754,4,36
120974.51999998093,0.7000000476837158,121.44345204999999,31.030531993333337,17.125999999999998,121.44345209904353,31.03053194041642,17.114013174955954,-1.183282274313229,2.5570313715883186,0.014212593867384271,-1.1785998862790927,2.551164457743663,0.002225768823340246,0.014143175037542274,0.007506359004606552,0.4987132606486528,-0.004682386910071192,0.005866913867650676,0.011986825044044025,0.007506359004606552,0.014143175037542274,5,36
120974.61999988556,0.7999999523162842,121.44345029833333,31.030535215,17.134,121.44345028980693,31.030535178588917,17.115907538051808,-1.3505210694149503,2.914218480685294,0.022212593867386943,-1.3513351203021473,2.9101815731806933,0.004120131919194137,0.01855522783976733,0.004118167169855036,0.6159412124113989,0.0008140506644744536,0.004036907523654776,0.018092461948192806,0.004118167169855036,0.01855522783976733,4,36
120974.72000002861,0.9000000953674316,121.443448515,31.030538408333335,17.137,121.44344847281866,31.030538386638533,17.116942326886353,-1.520783213835246,3.2682642654627654,0.025212593867387056,-1.524810438350626,3.2658589561742803,0.005154920753739134,0.02059889052619323,0.004690846424275524,0.6365809198392899,0.004027223279209906,0.002405309301426384,0.020057673113647922,0.004690846424275524,0.02059889052619323,5,36
120974.81999993324,1.0,121.44344667833333,31.030541583333335,17.14,121.44344662768971,31.03054155632891,17.118140285138697,-1.6961373091211878,3.6202774275016174,0.02821259386738717,-1.7009724627262193,3.6172834393410316,0.0063528790060836116,0.022587381289651584,0.00568706072647433,0.6243280014940072,0.004835151961647403,0.002993988178731506,0.02185971486130356,0.00568706072647433,0.022587381289651584,4,36
120974.92100000381,1.1010000705718994,121.44344481833332,31.030544719999998,17.143,121.44344473988942,31.03054472935013,17.119212962189394,-1.8737191338218315,3.9680405622295627,0.031212593867387284,-1.8812084947827215,3.969077213945524,0.007425556056780636,0.02495973357974575,0.007560762697549578,0.6420242606078649,0.007489358168361626,-0.0010366517229292427,0.023787037810606648,0.007560762697549578,0.02495973357974575,4,36
120975.02099990845,1.2009999752044678,121.44344295166665,31.030547826666666,17.146,121.4434428624902,31.03054783769584,17.12114471085529,-2.0519374505587176,4.31247758868856,0.0342125938673874,-2.0604514935402145,4.31370039608082,0.009357304722676929,0.026301511849649142,0.00860140262457654,0.6684490900908528,0.00851403953297458,-0.0012228074014407088,0.02485528914471047,0.00860140262457654,0.026301511849649142,4,36
